address,parid,date,saleval,price
1135 Rand Ave,070024  00124,8/8/08,a,70000
1161 Finch Cv,070024  00108,2/17/05,,78500
1195 Finch Dr,070024  00112,8/31/06,,75000
1214 Gibbons Ave,069058  00012,8/18/06,,67500
1334 Busby Cv,070020  00015,2/28/07,,74300
1588 Frayser Blvd,070049  00026,3/1/07,,64000
1695 Alta Vista Ave,070077  00001,8/23/13,,62000
1723 Georgian Dr,071012  00007,9/30/13,,71000
1730 Haywood Ave,070058  00029,6/8/09,,68000
1847 Driftwood Ave,072022  00005,9/30/13,,53000
1996 Gayle Dr.,072005  00013,5/17/04,,63000
2218 Willow Wood,072056  00054,6/10/13,,40000
2353 St. Elmo Ave,071040  00011,7/2/07,,37367
2381 Celeste Dr.,072080  00007,7/6/07,,60000
2510 Lockmeade Dr,072071  00074,2/27/14,,58000
2548 Clearpark Dr,072047  00061,11/1/06,,70500
2772 Birchfield Dr,072107  00073,4/29/13,,67000
2800 Whitney Ave,072107 B00001,9/20/13,,70000
2842 Walnut Rd.,083020  00041,2/24/04,A,49000
2848 Birchfield,072114  00013,10/18/13,,68000
2878 Laredo St,070024  00143,3/30/07,,74000
2914 Vista View St,070024  00044,5/12/14,,55000
3026 Spring Hill Dr,072107  00106,6/28/11,A,62000
3081 Rainier St,070016  00015,10/31/05,A,65000
3123 Harvester Ln,069017  00007,1/12/05,H,40000
3150 Boone St,072056  00096,9/4/07,G,64000
3186 Scenic Hywy,083008  00020,5/24/11,A,74000
3240 Debby Street,072071  00032,4/6/10,A,58000
3298 Debby Street,072071  00102,12/19/06,F,60000
3532 Mayflower Ave.,043072  00038,10/4/04,A,39000
3546 Gowan Dr,070052  00076,2/2/07,G,61300
3597 Overton Crossing,072004  00070,11/20/07,na,3598
3620 Gowan Dr,070052  00087,4/18/08,I,68000
3643 England St,072105  00003,11/28/05,A,62800
3794 Healey Rd,058060  00019,5/11/11,A,53000
5757 French Market Circle,093407 O00009,10/5/05,N,72000
